date,value
20230101,1.8875
20230102,1.6500000000000001
20230103,1.25
20230104,1.075
20230105,0.7208333333333333
20230106,1.0
20230107,1.2583333333333333
20230108,0.9333333333333332
20230109,1.547826086956522
20230110,0.75
20230111,0.8833333333333333
20230112,1.2125000000000001
20230113,0.4166666666666667
20230114,2.0500000000000003
20230115,2.3000000000000003
20230116,1.5666666666666667
20230117,0.8333333333333334
20230118,1.075
20230119,1.8625
20230120,2.1750000000000003
20230121,1.2625
20230122,0.9125
20230123,3.1833333333333336
20230124,2.8708333333333336
20230125,1.2458333333333333
20230126,1.4416666666666667
20230127,2.8708333333333336
20230128,1.6666666666666667
20230129,1.9291666666666665
20230130,1.3625
20230131,1.3
20230201,2.4250000000000003
20230202,1.3499999999999999
20230203,1.3916666666666666
20230204,1.1541666666666666
20230205,0.85
20230206,0.5708333333333333
20230207,0.8624999999999999
20230208,1.6583333333333332
20230209,1.4208333333333334
20230210,1.3833333333333335
20230211,0.8833333333333333
20230212,1.5250000000000001
20230213,1.7166666666666668
20230214,2.35
20230215,0.9416666666666668
20230216,1.325
20230217,0.8291666666666666
20230218,1.1375
20230219,2.6374999999999997
20230220,2.495833333333333
20230221,1.2125000000000001
20230222,1.6416666666666666
20230223,1.2375
20230224,2.2291666666666665
20230225,1.7583333333333335
20230226,1.2291666666666667
20230227,1.240909090909091
20230228,1.5083333333333335
20230301,3.225
20230302,1.8791666666666667
20230303,1.3625
20230304,1.1291666666666667
20230305,1.1083333333333334
20230306,1.125
20230307,0.9916666666666667
20230308,1.0208333333333333
20230309,1.2666666666666666
20230310,0.8250000000000001
20230311,1.6458333333333333
20230312,3.341666666666667
20230313,1.6458333333333333
20230314,1.0250000000000001
20230315,2.370833333333333
20230316,1.8791666666666667
20230317,1.275
20230318,1.6375
20230319,1.2833333333333334
20230320,1.1541666666666666
20230321,0.7791666666666667
20230322,1.2249999999999999
20230323,1.8375000000000001
20230324,1.5541666666666665
20230325,1.7375
20230326,2.375
20230327,1.625
20230328,1.325
20230329,1.3166666666666667
20230330,1.4666666666666668
20230331,1.325
20230401,1.1916666666666667
20230402,1.5083333333333335
20230403,1.3958333333333333
20230404,1.5374999999999999
20230405,1.3833333333333335
20230406,1.2291666666666667
