date,rain,temp,humi,wind
20230101,0.0,-3.5583333333333336,49.375,1.05
20230102,0.0,-7.045833333333333,55.708333333333336,0.9416666666666668
20230103,0.0,-6.004166666666666,56.91666666666666,0.9375
20230104,0.0,-5.2625,61.0,0.8875000000000001
20230105,0.0,-4.345833333333333,66.79166666666667,0.6749999999999999
20230106,0.1041666666666666,1.5125,77.54166666666667,0.8541666666666666
20230107,0.0,-2.5458333333333334,83.375,0.9375
20230108,0.0,1.5375,73.08333333333333,0.7999999999999999
20230109,0.0,-2.8625000000000003,64.17391304347827,1.126086956521739
20230110,0.0,-1.0333333333333332,73.29166666666667,0.6333333333333333
20230111,0.0,-0.4999999999999999,68.125,0.5875
20230112,1.2083333333333333,4.2125,68.33333333333333,0.8125
20230113,0.0416666666666666,5.983333333333333,99.375,0.2875
20230114,0.125,3.7541666666666655,91.20833333333331,1.275
20230115,0.0208333333333333,-1.575,81.04166666666667,1.45
20230116,0.0,-5.370833333333334,68.70833333333333,0.9166666666666666
20230117,0.0,-3.8166666666666655,75.75,0.6958333333333333
20230118,0.0,-4.154166666666667,61.66666666666666,1.0166666666666666
20230119,0.0416666666666666,1.2875,61.16666666666666,1.3666666666666665
20230120,0.0,-7.366666666666667,55.66666666666666,1.4333333333333331
20230121,0.0,-3.5375,57.29166666666666,0.8166666666666668
20230122,0.0,-1.6458333333333333,77.16666666666667,0.7416666666666667
20230123,0.0,-4.433333333333334,49.875,2.4166666666666665
20230124,0.0,-15.345833416666666,45.583333333333336,1.975
20230125,0.0,-9.85,52.91666666666666,1.0083333333333333
20230126,0.0,-7.425,80.125,0.7708333333333334
20230127,0.0,-8.654166666666667,49.41666666666666,1.8833333333333333
20230128,0.0,-6.279166666666666,57.083333333333336,1.2416666666666667
20230129,0.0,-1.3166666666666669,57.708333333333336,1.5708333333333335
20230130,0.0,-2.5791666666666666,57.04166666666666,1.075
20230131,0.0,2.520833333333333,71.875,1.0541666666666667
20230201,0.0,-1.2916666666666667,51.875,1.3125
20230202,0.0,-2.620833333333333,48.583333333333336,0.9125
20230203,0.0,-3.5,51.75,0.9291666666666668
20230204,0.0,-2.5875,61.458333333333336,0.8833333333333333
20230205,0.0,-1.1666666666666667,75.91666666666667,0.8958333333333334
20230206,0.0,-0.3249999999999999,76.58333333333333,0.75
20230207,0.0,0.1874999999999999,76.5,0.5291666666666667
20230208,0.0,-0.4458333333333333,57.0,1.1291666666666669
20230209,0.0,4.616666666666666,57.5,1.4916666666666665
20230210,0.0,0.7041666666666666,81.66666666666667,0.8416666666666667
20230211,0.0,0.1,78.20833333333333,0.5291666666666667
20230212,0.0,3.395833333333333,69.66666666666667,0.625
20230213,0.0,1.9791666666666667,71.66666666666667,0.9041666666666668
20230214,0.0,0.6708333333333334,49.833333333333336,0.925
20230215,0.0,1.8666666666666665,56.958333333333336,1.125
20230216,0.0,-0.5041666666666668,72.25,1.2416666666666667
20230217,0.0,2.8666666666666667,64.54166666666667,0.7041666666666666
20230218,0.0,4.879166666666666,59.75,0.6458333333333334
20230219,0.0,0.6541666666666667,47.75,1.7208333333333332
20230220,0.0,-2.1,38.54166666666666,1.9375
20230221,0.0,-2.85,50.41666666666666,0.9791666666666666
20230222,0.0,1.1666666666666667,52.333333333333336,0.9375
20230223,0.0,2.3916666666666666,64.70833333333333,1.0125
20230224,0.0,1.2083333333333333,45.333333333333336,1.625
20230225,0.0,-0.075,41.0,1.3541666666666667
20230226,0.0,0.7624999999999998,52.0,0.9791666666666666
20230227,0.0,1.679166666666667,52.66666666666666,1.0454545454545454
20230228,0.0,5.466666666666666,62.708333333333336,0.9208333333333334
20230301,0.0,4.754166666666667,31.791666666666668,2.191666666666667
20230302,0.0,0.4000000000000001,49.04166666666666,1.4291666666666665
20230303,0.0,4.016666666666667,72.54166666666667,1.1125
20230304,0.0,4.666666666666667,73.20833333333333,0.9458333333333332
20230305,0.0,4.708333333333333,52.04166666666666,0.9958333333333332
20230306,0.0,7.2625,48.75,0.9916666666666668
20230307,0.0,9.295833416666666,72.08333333333333,0.9708333333333332
20230308,0.125,11.466666708333332,70.08333333333333,0.8291666666666666
20230309,0.0,6.470833333333334,88.91666666666667,0.8791666666666668
20230310,0.0,11.570833333333333,62.04166666666666,0.8333333333333334
20230311,0.0208333333333333,13.03333325,54.16666666666666,1.1166666666666667
20230312,0.125,3.1375,46.54166666666666,2.2291666666666665
20230313,0.0,3.4875000000000003,45.333333333333336,1.3125
20230314,0.0,7.366666666666667,54.958333333333336,1.4291666666666665
20230315,0.0,5.733333333333333,55.79166666666666,1.5625
20230316,0.0,3.6875,38.125,1.3291666666666666
20230317,0.0,5.6625000000000005,40.625,0.7541666666666668
20230318,0.0,6.041666666666667,55.79166666666666,1.3333333333333333
20230319,0.0,6.391666666666667,62.125,0.9666666666666668
20230320,0.0,7.616666666666667,46.458333333333336,1.0416666666666667
20230321,0.0,10.725,44.375,0.8125
20230322,0.0,17.987499916666668,47.25,0.6583333333333333
20230323,0.0,14.533333375,41.79166666666666,1.1583333333333334
20230324,0.0,12.41666675,49.25,0.9125
20230325,0.0,12.487499958333332,45.833333333333336,1.375
20230326,0.0,6.6875,32.375,1.7708333333333333
20230327,0.0,5.595833333333334,49.625,1.1166666666666667
20230328,0.0,7.575,55.458333333333336,1.1291666666666669
20230329,0.0,9.637500208333334,46.41666666666666,1.025
20230330,0.0,11.362500083333332,45.083333333333336,0.9916666666666668
20230331,0.0,13.045833375,49.333333333333336,0.9666666666666668
20230401,0.0,15.458333416666669,41.79166666666666,1.0875
