date,value
20230101,41.875
20230102,47.625
20230103,47.375
20230104,50.666666666666664
20230105,59.208333333333336
20230106,72.83333333333333
20230107,80.41666666666667
20230108,64.41666666666667
20230109,56.30434782608695
20230110,63.541666666666664
20230111,56.625
20230112,56.333333333333336
20230113,96.29166666666667
20230114,87.83333333333333
20230115,81.04166666666667
20230116,61.291666666666664
20230117,69.375
20230118,53.625
20230119,58.041666666666664
20230120,45.041666666666664
20230121,46.458333333333336
20230122,69.25
20230123,47.166666666666664
20230124,37.666666666666664
20230125,41.958333333333336
20230126,76.33333333333333
20230127,44.916666666666664
20230128,49.75
20230129,53.416666666666664
20230130,47.25
20230131,66.66666666666667
20230201,45.375
20230202,40.041666666666664
20230203,44.041666666666664
20230204,53.166666666666664
20230205,67.25
20230206,65.20833333333333
20230207,69.75
20230208,49.083333333333336
20230209,51.041666666666664
20230210,76.83333333333333
20230211,71.79166666666667
20230212,57.0
20230213,58.541666666666664
20230214,42.375
20230215,47.541666666666664
20230216,65.66666666666667
20230217,53.416666666666664
20230218,52.416666666666664
20230219,39.708333333333336
20230220,33.541666666666664
20230221,40.541666666666664
20230222,47.5
20230223,58.166666666666664
20230224,40.25
20230225,35.208333333333336
20230226,42.125
20230227,44.5
20230228,56.375
20230301,30.125
20230302,43.666666666666664
20230303,64.83333333333333
20230304,64.79166666666667
20230305,43.416666666666664
20230306,38.708333333333336
20230307,63.541666666666664
20230308,60.291666666666664
20230309,80.79166666666667
20230310,49.083333333333336
20230311,47.208333333333336
20230312,44.083333333333336
20230313,35.125
20230314,45.25
20230315,47.0
20230316,29.041666666666668
20230317,32.791666666666664
20230318,50.208333333333336
20230319,51.041666666666664
20230320,39.333333333333336
20230321,35.208333333333336
20230322,39.375
20230323,33.0
20230324,43.125
20230325,42.416666666666664
20230326,26.333333333333332
20230327,40.875
20230328,47.208333333333336
20230329,36.0
20230330,36.083333333333336
20230331,40.75
20230401,31.833333333333332
20230402,28.541666666666668
20230403,20.625
20230404,56.625
20230405,89.83333333333333
20230406,84.625
20230407,44.833333333333336
20230408,45.583333333333336
20230409,51.041666666666664
20230410,38.5
20230411,65.75
20230412,38.875
20230413,34.34782608695652
20230414,60.25
20230415,78.54166666666667
20230416,60.416666666666664
20230417,46.333333333333336
20230418,82.33333333333333
20230419,60.5
20230420,76.66666666666667
20230421,25.0
20230422,31.208333333333332
20230423,31.583333333333332
20230424,44.541666666666664
20230425,76.08333333333333
20230426,67.83333333333333
20230427,53.666666666666664
20230428,66.45833333333333
20230429,76.66666666666667
20230430,67.375
20230501,49.458333333333336
20230502,45.5
20230503,58.0
20230504,63.333333333333336
20230505,89.70833333333333
20230506,61.0
20230507,57.25
20230508,54.625
20230509,54.375
20230510,51.666666666666664
20230511,51.166666666666664
20230512,55.916666666666664
20230513,53.125
20230514,56.041666666666664
20230515,53.25
20230516,49.208333333333336
20230517,63.583333333333336
20230518,65.95833333333333
20230519,58.333333333333336
20230520,66.33333333333333
20230521,59.708333333333336
20230522,54.625
20230523,46.125
20230524,51.958333333333336
20230525,46.166666666666664
20230526,56.166666666666664
20230527,93.25
20230528,95.5
20230529,77.58333333333333
20230530,58.166666666666664
20230531,60.041666666666664
20230601,64.08333333333333
20230602,71.33333333333333
20230603,53.041666666666664
20230604,50.666666666666664
20230605,60.958333333333336
20230606,62.916666666666664
20230607,69.58333333333333
20230608,76.41666666666667
20230609,56.125
20230610,73.04166666666667
20230611,74.625
20230612,69.16666666666667
20230613,64.58333333333333
20230614,66.375
20230615,63.833333333333336
20230616,57.708333333333336
20230617,52.0
20230618,56.916666666666664
20230619,55.333333333333336
20230620,78.08333333333333
20230621,85.04166666666667
20230622,79.0
20230623,67.30434782608695
20230624,68.25
20230625,62.666666666666664
20230626,86.5
20230627,66.54166666666667
20230628,74.41666666666667
20230629,94.16666666666667
20230630,81.5
20230701,73.04166666666667
20230702,78.33333333333333
20230703,68.66666666666667
20230704,85.66666666666667
20230705,73.29166666666667
20230706,65.66666666666667
20230707,66.0
20230708,76.20833333333333
20230709,85.83333333333333
20230710,76.29166666666667
20230711,94.41666666666667
20230712,83.95833333333333
20230713,94.25
20230714,95.5
20230715,86.83333333333333
20230716,88.04166666666667
20230717,88.08333333333333
20230718,88.54166666666667
20230719,75.83333333333333
20230720,75.70833333333333
20230721,66.70833333333333
20230722,76.79166666666667
20230723,93.25
20230724,79.54166666666667
20230725,75.5
20230726,89.25
20230727,80.08333333333333
20230728,72.70833333333333
20230729,72.5
20230730,71.25
20230731,74.125
20230801,73.70833333333333
20230802,67.91666666666667
20230803,68.54166666666667
20230804,70.5
20230805,68.875
20230806,69.625
20230807,62.833333333333336
20230808,59.666666666666664
20230809,76.29166666666667
20230810,93.66666666666667
20230811,88.625
20230812,88.04166666666667
20230813,80.08333333333333
20230814,69.54166666666667
20230815,69.41666666666667
20230816,73.54166666666667
20230817,72.5
20230818,73.875
20230819,71.70833333333333
20230820,71.79166666666667
20230821,67.875
20230822,83.5
20230823,91.625
20230824,82.375
20230825,75.125
20230826,73.75
20230827,79.91666666666667
20230828,81.0
20230829,91.5
20230830,91.125
20230831,78.54166666666667
20230901,71.29166666666667
20230902,71.83333333333333
20230903,82.79166666666667
20230904,77.5
20230905,78.5
20230906,65.66666666666667
20230907,61.416666666666664
20230908,68.41666666666667
20230909,70.20833333333333
20230910,74.58333333333333
20230911,72.58333333333333
20230912,70.875
20230913,91.20833333333333
20230914,71.75
20230915,87.33333333333333
20230916,89.95833333333333
20230917,82.83333333333333
20230918,78.79166666666667
20230919,80.75
