day,value
20230410,2.6333333333333333
20230411,2.0749999999999997
20230412,2.3249999999999997
20230413,1.1608695652173913
20230414,1.5739130434782609
20230415,1.9333333333333333
20230416,2.025
20230417,2.5375
20230418,2.1333333333333333
20230419,1.8291666666666666
20230420,2.3041666666666667
20230421,2.654166666666667
20230422,1.6208333333333333
20230423,2.0791666666666666
20230424,2.2666666666666666
20230425,2.129166666666667
20230426,2.3625000000000003
20230427,1.4083333333333332
20230428,1.6083333333333334
20230429,1.9916666666666665
20230430,2.2875
20230501,2.379166666666667
20230502,1.3125
20230503,1.5083333333333335
20230504,3.0041666666666664
20230505,3.0875
20230506,4.158333333333333
20230507,1.8791666666666667
20230508,1.7291666666666667
20230509,1.7391304347826086
20230510,1.8833333333333335
20230511,1.2291666666666667
20230512,1.6624999999999999
20230513,1.9000000000000001
20230514,1.8375000000000001
20230515,1.6375
20230516,1.7833333333333332
20230517,2.1625
20230518,2.1958333333333333
20230519,1.9833333333333334
20230520,2.5749999999999997
20230521,1.8708333333333333
20230522,1.7708333333333333
20230523,1.6666666666666667
20230524,1.5
20230525,2.4250000000000003
20230526,1.825
20230527,1.8208333333333335
20230528,1.0083333333333333
20230529,0.9416666666666668
20230530,2.9791666666666665
20230531,1.5958333333333332
20230601,2.0833333333333335
20230602,1.7583333333333335
20230603,2.3375
20230604,1.5416666666666667
20230605,2.1
20230606,2.0749999999999997
20230607,1.5708333333333335
20230608,1.6083333333333334
20230609,1.3499999999999999
20230610,2.5625
20230611,1.5666666666666667
20230612,1.7666666666666666
20230613,1.8583333333333334
20230614,1.1875
20230615,1.575
20230616,2.029166666666667
20230617,2.15
20230618,1.7739130434782608
20230619,1.7541666666666667
20230620,2.4499999999999997
20230621,1.825
20230622,2.158333333333333
20230623,1.6347826086956523
20230624,1.7458333333333333
20230625,2.8166666666666664
20230626,1.891304347826087
20230627,1.7375
20230628,1.5708333333333335
20230629,1.4666666666666668
20230630,1.2416666666666667
20230701,1.8333333333333333
20230702,1.5208333333333333
20230703,1.3166666666666667
20230704,2.766666666666667
20230705,2.4166666666666665
20230706,1.6416666666666666
20230707,3.733333333333333
20230708,1.9083333333333332
20230709,1.7625
20230710,1.8375000000000001
20230711,1.675
20230712,1.0958333333333334
20230713,2.1125000000000003
20230714,1.5416666666666667
20230715,2.0
20230716,1.0250000000000001
20230717,1.3291666666666666
20230718,0.9333333333333332
20230719,1.3458333333333332
20230720,1.3916666666666666
20230721,2.2291666666666665
20230722,3.3874999999999997
20230723,1.2208333333333334
20230724,1.2625
20230725,1.7625
20230726,1.7125000000000001
20230727,1.2166666666666666
20230728,1.3875
20230729,1.8333333333333333
20230730,1.2833333333333334
20230731,1.3458333333333332
20230801,1.3875
20230802,1.9541666666666666
20230803,1.5083333333333335
20230804,1.8166666666666667
20230805,2.066666666666667
20230806,1.8499999999999999
20230807,2.6458333333333335
20230808,3.204166666666667
20230809,3.3625000000000003
20230810,2.983333333333333
20230811,1.4749999999999999
20230812,2.0625
20230813,1.1375
20230814,1.7375
20230815,2.1374999999999997
20230816,1.2958333333333334
20230817,1.4208333333333334
20230818,1.5291666666666668
20230819,1.5291666666666668
20230820,1.7333333333333334
20230821,1.873913043478261
20230822,2.0208333333333335
20230823,2.3583333333333334
20230824,2.0375
20230825,1.6916666666666667
20230826,1.6875
20230827,1.9791666666666667
20230828,3.4375
20230829,1.5
20230830,1.1125
20230831,1.3125
20230901,1.8458333333333332
20230902,1.7208333333333332
20230903,1.8666666666666665
20230904,1.1708333333333334
20230905,1.7208333333333332
20230906,2.9375
20230907,2.3874999999999997
20230908,1.5458333333333334
20230909,1.4791666666666667
20230910,1.4416666666666667
20230911,1.6125
20230912,1.675
20230913,1.8583333333333334
20230914,3.4333333333333336
20230915,2.2291666666666665
20230916,1.2874999999999999
20230917,1.1291666666666667
20230918,1.5374999999999999
20230919,1.4166666666666667
20230920,3.108333333333333
20230921,1.5166666666666666
20230922,1.7333333333333334
20230923,3.345833333333333
20230924,2.904166666666667
20230925,1.7708333333333333
20230926,1.5333333333333332
20230927,1.1833333333333333
20230928,1.3333333333333333
20230929,1.3416666666666668
20230930,1.9791666666666667
20231001,1.7041666666666666
20231002,1.7708333333333333
20231003,1.2541666666666667
20231004,2.6041666666666665
20231005,2.3375
20231006,1.6875
20231007,2.6875
20231008,2.4
20231009,1.5125
20231010,1.5416666666666667
20231011,1.6583333333333332
20231012,1.2458333333333333
20231013,1.2750000000000001
20231014,1.0083333333333333
20231015,1.7583333333333335
20231016,1.9375
20231017,1.8041666666666665
20231018,1.5125
20231019,2.2583333333333333
20231020,3.5043478260869563
20231021,2.275
20231022,1.6166666666666665
20231023,1.4458333333333335
20231024,1.25
20231025,1.1083333333333334
20231026,1.7
20231027,1.3875
20231028,1.7625
20231029,1.4708333333333332
20231030,1.6833333333333333
20231031,1.6208333333333333
20231101,1.5791666666666666
20231102,2.0333333333333337
20231103,1.8499999999999999
20231104,2.8000000000000003
20231105,3.35
20231106,3.1333333333333333
20231107,2.1791666666666667
20231108,1.5541666666666665
20231109,3.141666666666667
20231110,3.275
20231111,2.6750000000000003
20231112,2.6875
20231113,1.9166666666666667
20231114,1.2791666666666666
20231115,1.55
20231116,2.0791666666666666
20231117,4.583333333333333
20231118,2.4125
20231119,1.8
20231120,1.5291666666666668
20231121,1.3499999999999999
20231122,1.7625
20231123,3.9916666666666667
20231124,3.3083333333333336
20231125,1.4875
20231126,1.8916666666666666
