day,value
20230101,-0.8208333333333333
20230102,-3.595833333333333
20230103,-2.433333333333333
20230104,-0.8374999999999999
20230105,-0.33749999999999997
20230106,2.6125000000000003
20230107,0.8166666666666665
20230108,3.5375
20230109,-0.05416666666666666
20230110,3.033333333333333
20230111,3.591666666666667
20230112,7.683333333333334
20230113,8.475
20230114,4.8125
20230115,-1.6291666666666667
20230116,-3.6
20230117,-1.8041666666666665
20230118,-1.2416666666666667
20230119,2.0749999999999997
20230120,-4.816666666666666
20230121,-1.5791666666666666
20230122,0.5375
20230123,-4.2
20230124,-14.262500000000001
20230125,-7.8500000000000005
20230126,-4.833333333333333
20230127,-6.620833333333334
20230128,-3.9875000000000003
20230129,0.4833333333333332
20230130,0.3958333333333333
20230131,4.716666666666667
20230201,0.4208333333333334
20230202,-0.875
20230203,-0.4791666666666667
20230204,1.2708333333333333
20230205,2.5166666666666666
20230206,3.8375
20230207,4.216666666666667
20230208,3.025
20230209,6.070833333333333
20230210,3.5416666666666665
20230211,3.7541666666666664
20230212,6.033333333333334
20230213,4.816666666666666
20230214,2.779166666666667
20230215,4.745833333333334
20230216,2.0
20230217,5.675
20230218,6.316666666666666
20230219,3.0416666666666665
20230220,-0.5833333333333334
20230221,0.2833333333333333
20230222,2.870833333333333
20230223,4.833333333333333
20230224,3.35
20230225,2.0541666666666667
20230226,3.85
20230227,5.454166666666667
20230228,6.904166666666666
20230301,4.916666666666667
20230302,3.0541666666666667
20230303,6.6125
20230304,8.0375
20230305,8.6
20230306,10.700000000000001
20230307,12.324999958333335
20230308,13.808333374999998
20230309,9.404166666666667
20230310,15.416666708333333
20230311,15.229166708333333
20230312,3.3166666666666664
20230313,5.3125
20230314,10.820833333333333
20230315,7.8999999999999995
20230316,5.8999999999999995
20230317,9.116666666666667
20230318,8.745833333333334
20230319,9.479166666666666
20230320,11.149999874999999
20230321,14.691666666666668
20230322,19.237499916666668
20230323,16.65000016666667
20230324,13.6
20230325,12.983333333333334
20230326,8.770833333333334
20230327,8.479166666666666
20230328,10.733333333333334
20230329,13.154166666666667
20230330,14.579166625
20230331,16.504166625
20230401,19.170833208333335
20230402,18.887500125
20230403,20.504166541666667
20230404,16.412499916666665
20230405,11.262500000000001
20230406,9.045833333333333
20230407,9.375
20230408,10.1
20230409,12.329166708333334
20230410,15.920833416666667
20230411,11.620833291666665
20230412,11.15
20230413,11.974999958333333
20230414,16.945833333333333
20230415,11.84166675
20230416,12.104166666666666
20230417,15.237500041666665
20230418,13.958333333333334
20230419,20.34999995833333
20230420,15.733333333333334
20230421,17.458333458333332
20230422,16.879166583333333
20230423,17.579166541666666
20230424,15.533333333333333
20230425,10.8125
20230426,10.070833333333333
20230427,14.837500125
20230428,17.308333583333333
20230429,11.779166666666667
20230430,13.941666708333335
20230501,15.191666666666668
20230502,18.375000083333333
20230503,20.574999916666666
20230504,21.770833208333332
20230505,16.787499999999998
20230506,13.112499999999999
20230507,13.845833375
20230508,16.416666666666668
20230509,17.941666458333334
20230510,19.791666708333334
20230511,20.237500291666667
20230512,18.92916675
20230513,18.629166708333333
20230514,18.762499958333333
20230515,22.550000083333334
20230516,24.75833329166667
20230517,23.80416658333333
20230518,21.27500004166667
20230519,22.85000008333333
20230520,20.458333458333332
20230521,18.841666583333332
20230522,20.54166641666667
20230523,21.42916683333333
20230524,21.641666625
20230525,21.65833320833333
20230526,22.674999833333334
20230527,18.795833166666664
20230528,19.708333166666666
20230529,24.266666458333333
20230530,23.458333458333332
20230531,23.483333125
20230601,22.63333329166667
20230602,21.34999995833333
20230603,22.529166583333335
20230604,23.066666833333333
20230605,21.950000041666666
20230606,21.166666541666668
20230607,21.850000249999997
20230608,20.54166675
20230609,24.383333333333336
20230610,21.983333208333335
20230611,23.125000375
20230612,23.166666833333334
20230613,22.00833329166667
20230614,21.737500125
20230615,23.52500004166667
20230616,24.93333325
20230617,25.745833208333334
20230618,27.77500016666667
20230619,28.950000083333332
20230620,22.737499958333334
20230621,20.741666541666667
20230622,22.712500125000002
20230623,22.362500208333334
20230624,27.27083358333333
20230625,27.979166625
20230626,23.787499666666665
20230627,26.654166875
20230628,26.858333541666667
20230629,23.72500008333333
20230630,26.537500124999998
20230701,28.15000004166667
20230702,27.51249975
20230703,29.8
20230704,25.016666541666666
20230705,24.77916675
20230706,28.283333291666665
20230707,25.725000249999997
20230708,26.58333358333333
20230709,23.949999958333333
20230710,27.062500125
20230711,22.3791665
20230712,26.812499958333333
20230713,24.691667
20230714,24.683333333333334
20230715,24.520833375
20230716,24.94583354166667
20230717,25.5833335
20230718,24.979166666666668
20230719,28.05416658333333
20230720,28.704166625
20230721,30.100000041666664
20230722,26.49583325
20230723,25.27500016666667
20230724,27.699999958333333
20230725,27.941666958333332
20230726,26.495833291666667
20230727,28.349999791666665
20230728,29.854166625
20230729,29.183333375
20230730,29.108333125
20230731,29.24583325
20230801,30.73333325
20230802,29.829166708333332
20230803,30.016666666666666
20230804,30.566666291666667
20230805,31.32083329166667
20230806,29.583333458333332
20230807,30.662499791666665
20230808,30.799999749999998
20230809,26.858333208333335
20230810,21.94583341666667
20230811,24.541666666666668
20230812,23.304166666666664
20230813,27.92916658333333
20230814,28.749999958333333
20230815,28.487500125
20230816,27.866666666666664
20230817,28.908333416666665
20230818,29.604166833333334
20230819,29.34583320833333
20230820,28.991666541666664
20230821,30.075
20230822,26.824999958333333
20230823,23.720833374999998
20230824,25.649999875000002
20230825,26.804166666666664
20230826,26.433333375
20230827,25.433333333333334
20230828,24.175
20230829,23.295833083333335
