day,value
20230101,36.833333333333336
20230102,40.208333333333336
20230103,40.083333333333336
20230104,45.833333333333336
20230105,53.833333333333336
20230106,73.70833333333333
20230107,70.70833333333333
20230108,58.583333333333336
20230109,49.21739130434783
20230110,57.791666666666664
20230111,50.708333333333336
20230112,54.5
20230113,99.45833333333333
20230114,88.20833333333333
20230115,80.70833333333333
20230116,45.666666666666664
20230117,62.583333333333336
20230118,46.083333333333336
20230119,57.625
20230120,37.25
20230121,42.291666666666664
20230122,62.958333333333336
20230123,51.083333333333336
20230124,42.208333333333336
20230125,44.583333333333336
20230126,69.58333333333333
20230127,39.0
20230128,45.75
20230129,51.041666666666664
20230130,46.041666666666664
20230131,71.58333333333333
20230201,44.333333333333336
20230202,38.0
20230203,35.791666666666664
20230204,52.541666666666664
20230205,67.625
20230206,63.25
20230207,66.91666666666667
20230208,39.75
20230209,51.916666666666664
20230210,71.20833333333333
20230211,65.70833333333333
20230212,57.416666666666664
20230213,57.208333333333336
20230214,39.458333333333336
20230215,47.0
20230216,63.458333333333336
20230217,53.291666666666664
20230218,53.833333333333336
20230219,41.166666666666664
20230220,32.458333333333336
20230221,37.791666666666664
20230222,49.583333333333336
20230223,60.208333333333336
20230224,37.291666666666664
20230225,32.166666666666664
20230226,43.625
20230227,39.208333333333336
20230228,59.583333333333336
20230301,32.5
20230302,40.958333333333336
20230303,64.58333333333333
20230304,63.75
20230305,41.333333333333336
20230306,39.458333333333336
20230307,61.416666666666664
20230308,60.916666666666664
20230309,81.45833333333333
20230310,49.166666666666664
20230311,47.958333333333336
20230312,44.833333333333336
20230313,34.791666666666664
20230314,46.791666666666664
20230315,45.625
20230316,27.041666666666668
20230317,30.041666666666668
20230318,51.083333333333336
20230319,51.5
20230320,32.625
20230321,33.791666666666664
20230322,43.0
20230323,36.0
20230324,39.916666666666664
20230325,45.0
20230326,22.791666666666668
20230327,43.125
20230328,46.708333333333336
20230329,36.458333333333336
20230330,34.541666666666664
20230331,36.958333333333336
20230401,28.375
20230402,21.583333333333332
20230403,16.666666666666668
20230404,59.458333333333336
20230405,92.25
20230406,85.45833333333333
20230407,44.458333333333336
20230408,44.625
20230409,45.041666666666664
20230410,39.166666666666664
20230411,58.125
20230412,41.041666666666664
20230413,32.17391304347826
20230414,57.916666666666664
20230415,80.33333333333333
20230416,59.416666666666664
20230417,45.25
20230418,81.0
20230419,63.333333333333336
20230420,77.54166666666667
20230421,19.958333333333332
20230422,22.416666666666668
20230423,25.041666666666668
20230424,38.458333333333336
20230425,71.91666666666667
20230426,65.375
20230427,51.5
20230428,68.20833333333333
20230429,77.625
20230430,67.625
20230501,39.375
20230502,36.166666666666664
20230503,54.708333333333336
20230504,63.541666666666664
20230505,90.66666666666667
20230506,55.25
20230507,45.125
20230508,46.916666666666664
20230509,49.666666666666664
20230510,44.291666666666664
20230511,40.291666666666664
20230512,50.25
20230513,49.166666666666664
20230514,48.791666666666664
20230515,49.75
20230516,45.375
20230517,64.41666666666667
20230518,62.75
20230519,53.208333333333336
20230520,70.54166666666667
20230521,63.541666666666664
20230522,51.333333333333336
20230523,44.458333333333336
20230524,43.625
20230525,42.291666666666664
20230526,52.25
20230527,93.33333333333333
20230528,96.33333333333333
20230529,77.79166666666667
20230530,54.375
20230531,56.75
20230601,64.375
20230602,69.75
20230603,53.958333333333336
20230604,52.958333333333336
20230605,63.625
20230606,67.08333333333333
20230607,71.25
20230608,77.29166666666667
20230609,50.916666666666664
20230610,71.41666666666667
20230611,66.04166666666667
20230612,61.208333333333336
20230613,62.791666666666664
20230614,65.58333333333333
20230615,65.625
20230616,51.666666666666664
20230617,50.25
20230618,52.416666666666664
20230619,51.75
20230620,71.20833333333333
20230621,80.91666666666667
20230622,74.5
20230623,64.52173913043478
20230624,66.08333333333333
20230625,60.166666666666664
20230626,87.625
20230627,66.33333333333333
20230628,76.25
20230629,95.875
20230630,79.125
20230701,71.33333333333333
20230702,75.25
20230703,66.45833333333333
20230704,86.79166666666667
20230705,75.25
20230706,62.708333333333336
20230707,62.875
20230708,74.91666666666667
20230709,84.08333333333333
20230710,74.16666666666667
20230711,93.04166666666667
20230712,78.66666666666667
20230713,95.20833333333333
20230714,97.125
20230715,86.625
20230716,86.33333333333333
20230717,85.83333333333333
20230718,84.83333333333333
20230719,72.29166666666667
20230720,66.79166666666667
20230721,62.208333333333336
20230722,76.875
20230723,92.04166666666667
20230724,78.41666666666667
20230725,75.79166666666667
20230726,80.54166666666667
20230727,72.79166666666667
20230728,65.91666666666667
20230729,63.416666666666664
20230730,71.25
20230731,71.5
20230801,69.04166666666667
20230802,62.291666666666664
20230803,61.625
20230804,63.333333333333336
20230805,66.70833333333333
20230806,65.875
20230807,59.125
20230808,55.541666666666664
20230809,71.625
20230810,93.875
20230811,84.41666666666667
20230812,85.58333333333333
20230813,73.70833333333333
20230814,64.25
20230815,63.0
20230816,70.33333333333333
20230817,67.33333333333333
20230818,67.375
20230819,64.54166666666667
20230820,67.45833333333333
20230821,67.83333333333333
20230822,83.79166666666667
20230823,89.79166666666667
20230824,79.5
20230825,73.66666666666667
20230826,66.29166666666667
20230827,71.29166666666667
20230828,79.70833333333333
20230829,89.08333333333333
20230830,86.25
20230831,69.29166666666667
20230901,62.333333333333336
20230902,61.416666666666664
20230903,76.41666666666667
20230904,70.375
20230905,66.95833333333333
20230906,55.166666666666664
20230907,45.833333333333336
20230908,60.125
20230909,61.791666666666664
20230910,65.66666666666667
20230911,64.25
20230912,65.79166666666667
20230913,85.04166666666667
20230914,65.95833333333333
20230915,82.75
20230916,87.58333333333333
20230917,76.29166666666667
20230918,73.625
20230919,76.5
20230920,76.625
20230921,66.125
20230922,59.375
20230923,56.166666666666664
20230924,52.916666666666664
20230925,73.95833333333333
20230926,94.79166666666667
20230927,85.70833333333333
20230928,68.0
20230929,61.0
20230930,70.95833333333333
20231001,53.041666666666664
20231002,49.208333333333336
20231003,67.20833333333333
20231004,57.041666666666664
20231005,43.833333333333336
20231006,52.666666666666664
20231007,56.625
20231008,60.291666666666664
20231009,68.16666666666667
20231010,56.75
20231011,53.708333333333336
20231012,58.666666666666664
20231013,67.58333333333333
20231014,81.75
20231015,65.91666666666667
20231016,50.208333333333336
20231017,51.458333333333336
20231018,70.58333333333333
20231019,70.08333333333333
20231020,43.0
20231021,49.291666666666664
20231022,70.54166666666667
20231023,69.91666666666667
20231024,78.29166666666667
20231025,74.58333333333333
20231026,73.91666666666667
20231027,67.33333333333333
20231028,57.041666666666664
20231029,59.916666666666664
20231030,71.33333333333333
20231031,72.125
20231101,78.83333333333333
20231102,65.04166666666667
20231103,79.25
20231104,70.95833333333333
20231105,84.625
20231106,68.25
20231107,56.708333333333336
20231108,49.5
20231109,66.83333333333333
20231110,39.625
20231111,41.875
20231112,48.541666666666664
20231113,49.291666666666664
20231114,63.458333333333336
20231115,59.833333333333336
20231116,77.125
20231117,48.041666666666664
20231118,59.708333333333336
20231119,60.5
20231120,50.875
20231121,52.916666666666664
20231122,65.0
20231123,59.625
20231124,42.25
20231125,28.0
20231126,53.708333333333336
20231127,71.0
20231128,42.958333333333336
20231129,50.166666666666664
20231130,45.375
20231201,48.083333333333336
20231202,54.5
20231203,49.25
20231204,48.166666666666664
20231205,57.666666666666664
20231206,64.58333333333333
20231207,59.208333333333336
20231208,71.0
20231209,70.58333333333333
20231210,58.166666666666664
20231211,74.33333333333333
20231212,69.5
20231213,62.541666666666664
20231214,88.375
20231215,85.125
20231216,49.833333333333336
20231217,39.291666666666664
20231218,38.208333333333336
20231219,67.66666666666667
20231220,53.25
20231221,47.458333333333336
20231222,46.708333333333336
20231223,53.958333333333336
20231224,74.45833333333333
20231225,72.29166666666667
20231226,68.79166666666667
20231227,72.33333333333333
20231228,59.583333333333336
20231229,65.20833333333333
20231230,95.16666666666667
20231231,90.5
