date,value
20230101,41.958333333333336
20230102,47.458333333333336
20230103,51.208333333333336
20230104,55.833333333333336
20230105,64.33333333333333
20230106,77.54166666666667
20230107,77.58333333333333
20230108,69.41666666666667
20230109,61.391304347826086
20230110,68.29166666666667
20230111,62.666666666666664
20230112,63.333333333333336
20230113,99.875
20230114,93.25
20230115,81.29166666666667
20230116,60.333333333333336
20230117,72.625
20230118,54.416666666666664
20230119,60.5
20230120,49.458333333333336
20230121,53.875
20230122,72.83333333333333
20230123,53.041666666666664
20230124,45.291666666666664
20230125,55.083333333333336
20230126,75.83333333333333
20230127,41.25
20230128,53.916666666666664
20230129,51.333333333333336
20230130,55.833333333333336
20230131,69.875
20230201,45.625
20230202,41.666666666666664
20230203,37.708333333333336
20230204,57.791666666666664
20230205,74.83333333333333
20230206,71.04166666666667
20230207,69.08333333333333
20230208,46.416666666666664
20230209,56.666666666666664
20230210,77.375
20230211,73.04166666666667
20230212,63.166666666666664
20230213,67.20833333333333
20230214,49.541666666666664
20230215,52.625
20230216,73.0
20230217,59.416666666666664
20230218,56.666666666666664
20230219,40.875
20230220,34.041666666666664
20230221,43.916666666666664
20230222,50.333333333333336
20230223,63.166666666666664
20230224,38.541666666666664
20230225,35.958333333333336
20230226,45.333333333333336
20230227,43.083333333333336
20230228,63.041666666666664
20230301,33.125
20230302,42.166666666666664
20230303,71.75
20230304,66.04166666666667
20230305,39.833333333333336
20230306,43.458333333333336
20230307,66.41666666666667
20230308,68.33333333333333
20230309,85.20833333333333
20230310,53.916666666666664
20230311,48.125
20230312,45.75
20230313,44.333333333333336
20230314,52.333333333333336
20230315,46.708333333333336
20230316,32.791666666666664
20230317,30.541666666666668
20230318,45.166666666666664
20230319,54.208333333333336
20230320,36.583333333333336
20230321,33.041666666666664
20230322,45.958333333333336
20230323,35.5
20230324,45.666666666666664
20230325,46.041666666666664
20230326,25.25
20230327,44.291666666666664
20230328,52.25
20230329,37.75
20230330,35.166666666666664
20230331,39.583333333333336
20230401,30.958333333333332
20230402,29.875
20230403,24.875
20230404,61.291666666666664
20230405,94.08333333333333
20230406,92.04166666666667
20230407,44.583333333333336
20230408,50.416666666666664
20230409,55.75
20230410,41.666666666666664
20230411,66.0
20230412,45.375
20230413,37.69565217391305
20230414,63.041666666666664
20230415,82.625
20230416,64.625
20230417,53.416666666666664
20230418,88.58333333333333
20230419,62.875
20230420,84.375
20230421,24.75
20230422,30.0
20230423,26.333333333333332
20230424,43.583333333333336
20230425,77.875
20230426,70.91666666666667
20230427,54.583333333333336
20230428,68.5
20230429,77.91666666666667
20230430,69.875
20230501,45.208333333333336
20230502,40.75
20230503,60.75
20230504,70.08333333333333
20230505,95.625
20230506,73.95833333333333
20230507,59.125
20230508,56.875
20230509,54.458333333333336
20230510,49.375
20230511,46.833333333333336
20230512,55.625
20230513,54.5
20230514,57.208333333333336
20230515,52.666666666666664
20230516,48.166666666666664
20230517,66.33333333333333
20230518,68.83333333333333
20230519,60.666666666666664
20230520,68.29166666666667
20230521,59.166666666666664
20230522,53.583333333333336
20230523,47.125
20230524,47.541666666666664
20230525,50.166666666666664
20230526,59.75
20230527,96.625
20230528,96.25
20230529,80.08333333333333
20230530,64.41666666666667
20230531,63.416666666666664
20230601,67.33333333333333
20230602,73.375
20230603,57.083333333333336
20230604,54.125
20230605,64.75
20230606,69.875
20230607,73.625
20230608,82.83333333333333
20230609,63.458333333333336
20230610,80.08333333333333
20230611,79.5
20230612,70.375
20230613,72.20833333333333
20230614,75.125
20230615,68.54166666666667
20230616,62.25
20230617,57.833333333333336
20230618,62.208333333333336
20230619,60.583333333333336
20230620,83.54166666666667
20230621,91.91666666666667
20230622,78.75
20230623,73.30434782608695
