date,value
20230101,36.333333333333336
20230102,42.166666666666664
20230103,40.041666666666664
20230104,53.666666666666664
20230105,60.625
20230106,74.5
20230107,75.5
20230108,58.041666666666664
20230109,54.130434782608695
20230110,63.791666666666664
20230111,59.5
20230112,63.75
20230113,99.0
20230114,93.0
20230115,79.875
20230116,47.0
20230117,61.5
20230118,47.833333333333336
20230119,57.083333333333336
20230120,37.5
20230121,43.708333333333336
20230122,63.0
20230123,50.5
20230124,42.083333333333336
20230125,44.708333333333336
20230126,69.66666666666667
20230127,38.583333333333336
20230128,47.166666666666664
20230129,50.083333333333336
20230130,48.416666666666664
20230131,68.91666666666667
20230201,44.541666666666664
20230202,37.708333333333336
20230203,37.583333333333336
20230204,54.708333333333336
20230205,70.75
20230206,69.66666666666667
20230207,68.375
20230208,45.375
20230209,53.541666666666664
20230210,74.91666666666667
20230211,71.70833333333333
20230212,55.916666666666664
20230213,55.25
20230214,41.375
20230215,48.458333333333336
20230216,65.58333333333333
20230217,51.875
20230218,51.458333333333336
20230219,40.0
20230220,32.125
20230221,40.208333333333336
20230222,48.5
20230223,59.166666666666664
20230224,37.833333333333336
20230225,34.291666666666664
20230226,43.25
20230227,39.583333333333336
20230228,57.75
20230301,32.208333333333336
20230302,44.708333333333336
20230303,64.91666666666667
20230304,61.958333333333336
20230305,40.875
20230306,40.625
20230307,63.541666666666664
20230308,60.75
20230309,81.83333333333333
20230310,51.833333333333336
20230311,47.375
20230312,44.416666666666664
20230313,35.333333333333336
20230314,49.875
20230315,44.583333333333336
20230316,28.416666666666668
20230317,28.625
20230318,52.333333333333336
20230319,47.583333333333336
20230320,34.458333333333336
20230321,38.125
20230322,41.666666666666664
20230323,34.416666666666664
20230324,39.333333333333336
20230325,45.25
20230326,23.416666666666668
20230327,42.166666666666664
20230328,49.0
20230329,38.0
20230330,38.0
20230331,39.625
20230401,34.583333333333336
20230402,28.416666666666668
20230403,17.25
20230404,61.166666666666664
20230405,92.29166666666667
20230406,86.70833333333333
20230407,42.291666666666664
20230408,47.291666666666664
20230409,49.583333333333336
20230410,39.625
20230411,62.958333333333336
20230412,39.5
20230413,36.0
20230414,57.916666666666664
20230415,78.5
20230416,58.208333333333336
20230417,44.666666666666664
20230418,84.41666666666667
20230419,62.416666666666664
20230420,75.29166666666667
20230421,22.583333333333332
20230422,29.75
20230423,26.333333333333332
20230424,40.375
20230425,68.91666666666667
20230426,65.33333333333333
20230427,50.458333333333336
20230428,68.58333333333333
20230429,76.95833333333333
20230430,64.95833333333333
20230501,44.125
20230502,39.375
20230503,54.083333333333336
20230504,63.5
20230505,93.66666666666667
20230506,63.333333333333336
20230507,54.0
20230508,49.125
20230509,50.25
20230510,47.416666666666664
20230511,42.708333333333336
20230512,49.5
20230513,51.083333333333336
20230514,49.25
20230515,50.0
20230516,46.5
20230517,62.833333333333336
20230518,70.54166666666667
20230519,55.25
20230520,68.29166666666667
20230521,60.25
20230522,66.33333333333333
20230523,46.0
20230524,44.5
20230525,43.041666666666664
20230526,52.708333333333336
20230527,95.25
20230528,97.625
20230529,80.70833333333333
20230530,55.291666666666664
20230531,55.791666666666664
20230601,62.125
20230602,71.0
20230603,52.5
20230604,51.5
20230605,61.0
20230606,63.666666666666664
20230607,69.125
20230608,77.625
20230609,52.0
20230610,71.0
20230611,67.20833333333333
20230612,61.958333333333336
20230613,60.916666666666664
20230614,65.16666666666667
20230615,64.79166666666667
20230616,51.25
20230617,47.0
20230618,51.958333333333336
20230619,50.833333333333336
20230620,72.875
20230621,85.16666666666667
20230622,76.91666666666667
20230623,67.1304347826087
20230624,63.708333333333336
20230625,61.75
20230626,87.20833333333333
20230627,63.291666666666664
20230628,75.45833333333333
20230629,95.83333333333333
20230630,78.16666666666667
20230701,68.625
20230702,73.29166666666667
20230703,64.875
20230704,87.375
20230705,72.20833333333333
20230706,62.541666666666664
20230707,64.375
20230708,74.125
20230709,85.29166666666667
20230710,73.75
20230711,96.25
20230712,80.33333333333333
20230713,97.0
20230714,97.54166666666667
20230715,86.0
20230716,89.75
20230717,89.875
20230718,92.5
20230719,72.45833333333333
20230720,68.20833333333333
20230721,60.041666666666664
20230722,79.875
20230723,96.33333333333333
20230724,77.45833333333333
20230725,75.375
20230726,79.25
20230727,74.29166666666667
20230728,67.125
20230729,66.20833333333333
20230730,66.0
20230731,69.125
20230801,67.25
20230802,60.583333333333336
20230803,60.708333333333336
20230804,62.208333333333336
20230805,65.75
20230806,65.20833333333333
20230807,60.291666666666664
20230808,56.666666666666664
20230809,73.875
20230810,96.66666666666667
20230811,85.04166666666667
20230812,87.79166666666667
20230813,76.91666666666667
20230814,66.41666666666667
20230815,64.66666666666667
20230816,69.125
20230817,66.0
20230818,75.33333333333333
20230819,64.625
20230820,66.5
20230821,66.58333333333333
20230822,85.70833333333333
20230823,93.91666666666667
20230824,81.95833333333333
20230825,76.33333333333333
20230826,68.58333333333333
20230827,75.625
20230828,83.79166666666667
20230829,92.375
20230830,90.33333333333333
20230831,75.125
20230901,65.41666666666667
20230902,68.66666666666667
20230903,82.125
20230904,75.20833333333333
20230905,79.875
20230906,59.5
20230907,56.083333333333336
20230908,63.25
20230909,62.125
20230910,66.08333333333333
20230911,65.33333333333333
20230912,67.125
20230913,91.16666666666667
20230914,69.83333333333333
20230915,89.20833333333333
20230916,91.45833333333333
20230917,82.91666666666667
20230918,74.58333333333333
20230919,78.04166666666667
20230920,80.16666666666667
20230921,74.58333333333333
20230922,69.0
20230923,60.916666666666664
20230924,55.375
20230925,78.29166666666667
20230926,97.875
