day,rain,temp,humi,wind
20230101,0.0,-2.3625000000000003,47.16666666666666,2.670833333333333
20230102,0.0,-5.0875,49.208333333333336,2.395833333333333
20230103,0.0,-3.466666666666667,47.375,1.7958333333333334
20230104,0.0,-1.6541666666666668,55.41666666666666,1.9416666666666669
20230105,0.0,-1.2125,59.5,1.7166666666666668
20230106,0.1666666666666666,2.4916666666666667,78.29166666666667,2.275
20230107,0.0,-0.0291666666666666,76.25,1.9625
20230108,0.0,3.545833333333333,63.79166666666666,1.7416666666666665
20230109,0.0,-1.4208333333333334,60.130434782608695,2.426086956521739
20230110,0.0,2.4875000000000003,62.29166666666666,1.5791666666666666
20230111,0.0,3.208333333333333,57.583333333333336,1.7541666666666669
20230112,1.4916666666666665,8.070833333333333,58.583333333333336,3.0500000000000003
20230113,0.0708333333333333,8.741666666666667,99.33333333333331,1.15
20230114,0.1708333333333333,4.729166666666667,92.41666666666669,3.1625
20230115,0.0208333333333333,-2.6625,87.375,2.8791666666666664
20230116,0.0,-4.904166666666667,58.5,2.1708333333333334
20230117,0.0,-2.4125,71.625,1.5583333333333331
20230118,0.0,-2.3625,54.66666666666666,2.279166666666667
20230119,0.0416666666666666,1.445833333333333,68.16666666666667,3.204166666666666
20230120,0.0,-6.245833333333334,49.458333333333336,2.8541666666666665
20230121,0.0,-1.9291666666666665,52.083333333333336,2.225
20230122,0.0,-0.0208333333333333,70.70833333333333,1.9041666666666668
20230123,0.0,-5.108333291666667,59.458333333333336,3.945833333333333
20230124,0.0,-15.754166541666663,51.04166666666666,3.5125
20230125,0.0333333333333333,-8.325000000000001,54.04166666666666,2.5791666666666666
20230126,0.0,-5.8625,78.29166666666667,2.3041666666666667
20230127,0.0,-8.049999999999999,49.79166666666666,3.404166666666667
20230128,0.0,-4.7375,56.0,2.3375
20230129,0.0,-0.5291666666666667,62.16666666666666,2.625
20230130,0.0,-0.5083333333333333,56.16666666666666,2.4208333333333334
20230131,0.0,4.033333333333333,77.91666666666667,2.670833333333333
20230201,0.0,-0.9708333333333332,56.66666666666666,3.158333333333333
20230202,0.0,-2.0791666666666666,48.04166666666666,2.441666666666667
20230203,0.0,-1.6041666666666667,45.458333333333336,2.0166666666666666
20230204,0.0,0.4458333333333333,59.583333333333336,2.1041666666666665
20230205,0.0,2.1750000000000003,73.91666666666667,1.8625
20230206,0.0,3.295833333333333,69.875,1.4291666666666665
20230207,0.0,3.3875,73.08333333333333,1.9
20230208,0.0,1.65,51.5,2.3583333333333334
20230209,0.025,4.925,56.625,2.7125
20230210,0.0,2.1166666666666667,79.875,2.0375
20230211,0.0,3.0041666666666664,72.20833333333333,1.4791666666666667
20230212,0.0,5.545833333333333,65.04166666666667,2.3916666666666666
20230213,0.0,3.520833333333333,66.16666666666667,2.441666666666667
20230214,0.0,1.8916666666666664,47.583333333333336,3.083333333333333
20230215,0.0,4.1875,52.708333333333336,2.033333333333333
20230216,0.0,1.0125,72.41666666666667,2.5083333333333333
20230217,0.0,5.166666666666667,60.875,1.7083333333333333
20230218,0.0166666666666666,5.720833333333334,61.04166666666666,1.675
20230219,0.0,1.8375,50.5,3.275
20230220,0.0,-1.8125,43.125,3.395833333333333
20230221,0.0,-0.7541666666666668,45.083333333333336,1.8708333333333331
20230222,0.0,2.0125,57.833333333333336,2.0541666666666667
20230223,0.0,4.041666666666667,68.375,2.025
20230224,0.0,2.091666666666667,47.16666666666666,3.345833333333333
20230225,0.0,0.5,42.41666666666666,2.404166666666667
20230226,0.0,2.9291666666666667,50.91666666666666,2.0
20230227,0.0,4.533333333333333,45.375,1.8090909090909089
20230228,0.0,6.2250000000000005,67.29166666666667,2.0083333333333333
20230301,0.0,3.9916666666666663,41.54166666666666,3.6833333333333336
20230302,0.0,1.9041666666666668,48.0,2.341666666666667
20230303,0.0,6.3875,70.70833333333333,2.0458333333333334
20230304,0.0,7.395833333333333,67.16666666666667,1.7083333333333333
20230305,0.0,8.079166666666667,42.083333333333336,1.8583333333333332
20230306,0.0,10.420833333333333,46.54166666666666,2.245833333333333
20230307,0.0,11.862500125,68.58333333333333,2.1750000000000003
20230308,0.1999999999999999,13.704166666666666,67.5,2.5
20230309,0.0041666666666666,8.729166666666666,87.0,2.1166666666666667
20230310,0.0,14.966666708333332,55.75,1.8791666666666669
20230311,0.0583333333333333,14.5791665,54.625,2.9166666666666665
20230312,0.175,2.4875000000000003,54.208333333333336,4.345833333333333
20230313,0.0,4.641666666666667,42.75,2.65
20230314,0.0,10.529166666666669,54.833333333333336,2.4791666666666665
20230315,0.0,6.4875,55.125,2.983333333333333
20230316,0.0,4.7375,36.958333333333336,2.308333333333333
20230317,0.0,8.0,36.04166666666666,1.9583333333333333
20230318,0.0,7.579166666666667,55.958333333333336,2.3833333333333333
20230319,0.0,8.2875,61.458333333333336,2.1125000000000003
20230320,0.0,10.204166708333334,38.29166666666666,1.8375
20230321,0.0,14.412500083333336,35.666666666666664,1.5833333333333333
20230322,0.0,18.65833345833333,49.5,1.7541666666666669
20230323,0.0,15.054166708333334,40.833333333333336,2.9250000000000003
20230324,0.0,12.799999958333332,46.16666666666666,2.2333333333333334
20230325,0.0,12.037500041666668,53.333333333333336,2.920833333333333
20230326,0.0,7.645833333333333,32.083333333333336,3.0666666666666664
20230327,0.0,7.583333333333333,54.16666666666666,2.3000000000000003
20230328,0.0,9.9,53.79166666666666,1.775
20230329,0.0,12.383333291666666,43.41666666666666,1.866666666666667
20230330,0.0,13.562500041666668,43.125,2.1666666666666665
20230331,0.0,15.674999875,42.16666666666666,2.120833333333333
