day,value
20230101,47.166666666666664
20230102,49.208333333333336
20230103,47.375
20230104,55.416666666666664
20230105,59.5
20230106,78.29166666666667
20230107,76.25
20230108,63.791666666666664
20230109,60.130434782608695
20230110,62.291666666666664
20230111,57.583333333333336
20230112,58.583333333333336
20230113,99.33333333333333
20230114,92.41666666666667
20230115,87.375
20230116,58.5
20230117,71.625
20230118,54.666666666666664
20230119,68.16666666666667
20230120,49.458333333333336
20230121,52.083333333333336
20230122,70.70833333333333
20230123,59.458333333333336
20230124,51.041666666666664
20230125,54.041666666666664
20230126,78.29166666666667
20230127,49.791666666666664
20230128,56.0
20230129,62.166666666666664
20230130,56.166666666666664
20230131,77.91666666666667
20230201,56.666666666666664
20230202,48.041666666666664
20230203,45.458333333333336
20230204,59.583333333333336
20230205,73.91666666666667
20230206,69.875
20230207,73.08333333333333
20230208,51.5
20230209,56.625
20230210,79.875
20230211,72.20833333333333
20230212,65.04166666666667
20230213,66.16666666666667
20230214,47.583333333333336
20230215,52.708333333333336
20230216,72.41666666666667
20230217,60.875
20230218,61.041666666666664
20230219,50.5
20230220,43.125
20230221,45.083333333333336
20230222,57.833333333333336
20230223,68.375
20230224,47.166666666666664
20230225,42.416666666666664
20230226,50.916666666666664
20230227,45.375
20230228,67.29166666666667
20230301,41.541666666666664
20230302,48.0
20230303,70.70833333333333
20230304,67.16666666666667
20230305,42.083333333333336
20230306,46.541666666666664
20230307,68.58333333333333
20230308,67.5
20230309,87.0
20230310,55.75
20230311,54.625
20230312,54.208333333333336
20230313,42.75
20230314,54.833333333333336
20230315,55.125
20230316,36.958333333333336
20230317,36.041666666666664
20230318,55.958333333333336
20230319,61.458333333333336
20230320,38.291666666666664
20230321,35.666666666666664
20230322,49.5
20230323,40.833333333333336
20230324,46.166666666666664
20230325,53.333333333333336
20230326,32.083333333333336
20230327,54.166666666666664
20230328,53.791666666666664
20230329,43.416666666666664
20230330,43.125
20230331,42.166666666666664
20230401,35.208333333333336
20230402,28.75
20230403,23.875
20230404,66.125
20230405,96.875
20230406,93.58333333333333
20230407,55.5
20230408,53.625
20230409,55.875
20230410,48.458333333333336
20230411,72.54166666666667
20230412,50.041666666666664
20230413,39.391304347826086
20230414,65.29166666666667
20230415,85.41666666666667
20230416,69.70833333333333
20230417,53.833333333333336
20230418,85.41666666666667
20230419,67.91666666666667
20230420,88.625
20230421,28.625
20230422,27.666666666666668
20230423,32.916666666666664
20230424,44.458333333333336
20230425,78.125
20230426,71.95833333333333
20230427,58.125
20230428,71.16666666666667
20230429,85.125
20230430,72.95833333333333
20230501,46.041666666666664
20230502,41.041666666666664
20230503,61.916666666666664
20230504,69.5
20230505,98.375
20230506,68.625
20230507,54.541666666666664
20230508,54.416666666666664
20230509,56.458333333333336
20230510,51.083333333333336
20230511,47.25
20230512,57.041666666666664
20230513,57.875
20230514,56.875
20230515,54.625
20230516,53.166666666666664
20230517,68.58333333333333
20230518,69.91666666666667
20230519,59.125
20230520,74.58333333333333
20230521,68.70833333333333
20230522,53.041666666666664
20230523,49.0
20230524,48.916666666666664
20230525,50.625
20230526,58.208333333333336
20230527,96.45833333333333
20230528,98.91666666666667
20230529,80.33333333333333
20230530,61.666666666666664
20230531,62.666666666666664
20230601,70.41666666666667
20230602,76.79166666666667
20230603,61.333333333333336
20230604,57.791666666666664
20230605,68.25
20230606,72.125
20230607,76.95833333333333
20230608,82.45833333333333
20230609,58.375
20230610,77.54166666666667
20230611,72.29166666666667
20230612,68.41666666666667
20230613,72.08333333333333
20230614,79.5
20230615,70.16666666666667
20230616,59.75
20230617,59.083333333333336
20230618,59.833333333333336
20230619,56.625
20230620,76.375
20230621,87.5
20230622,78.79166666666667
20230623,72.3913043478261
20230624,71.125
20230625,65.04166666666667
20230626,91.33333333333333
20230627,70.75
20230628,79.625
20230629,98.20833333333333
20230630,85.58333333333333
20230701,76.08333333333333
20230702,80.08333333333333
20230703,69.20833333333333
20230704,90.83333333333333
20230705,79.16666666666667
20230706,67.25
20230707,67.04166666666667
20230708,78.125
20230709,89.25
20230710,78.125
20230711,96.29166666666667
20230712,83.45833333333333
20230713,97.83333333333333
20230714,99.25
20230715,91.29166666666667
20230716,89.04166666666667
20230717,87.08333333333333
20230718,87.625
20230719,77.0
20230720,72.5
20230721,66.79166666666667
20230722,81.41666666666667
20230723,93.91666666666667
20230724,81.625
20230725,80.75
20230726,83.95833333333333
20230727,76.08333333333333
20230728,70.41666666666667
20230729,70.16666666666667
20230730,76.29166666666667
20230731,74.79166666666667
20230801,72.54166666666667
20230802,66.875
20230803,66.5
20230804,67.08333333333333
20230805,71.625
20230806,74.875
20230807,64.875
20230808,60.0
20230809,74.70833333333333
20230810,95.125
20230811,90.58333333333333
20230812,90.5
20230813,76.75
20230814,72.04166666666667
20230815,70.70833333333333
20230816,75.29166666666667
20230817,72.04166666666667
20230818,71.54166666666667
20230819,69.79166666666667
20230820,70.875
20230821,68.95833333333333
20230822,84.75
20230823,93.04166666666667
20230824,83.08333333333333
20230825,77.125
20230826,70.33333333333333
20230827,76.75
20230828,87.04166666666667
20230829,91.58333333333333
20230830,88.29166666666667
20230831,75.625
20230901,67.95833333333333
20230902,63.916666666666664
20230903,79.75
20230904,77.20833333333333
20230905,70.875
20230906,62.125
20230907,53.916666666666664
20230908,64.95833333333333
20230909,64.45833333333333
20230910,68.83333333333333
20230911,69.08333333333333
20230912,70.875
20230913,87.45833333333333
20230914,70.70833333333333
20230915,85.54166666666667
20230916,88.83333333333333
20230917,82.91666666666667
20230918,79.0
20230919,81.5
