date,rain,temp,humi,wind,fire_count
20230101,0.0,-0.8208333333333333,35.458333333333336,1.9416666666666669,0
20230102,0.0,-3.595833333333333,38.625,1.6458333333333333,0
20230103,0.0,-2.433333333333333,38.91666666666666,1.175,0
20230104,0.0,-0.8374999999999999,42.79166666666666,1.2625,1
20230105,0.0,-0.3374999999999998,48.583333333333336,1.0125,2
20230106,0.1458333333333333,2.6125000000000003,71.0,1.1416666666666668,1
20230107,0.0,0.8166666666666665,68.625,1.3375,0
20230108,0.0,3.5375,57.583333333333336,1.0333333333333334,0
20230109,0.0,-0.0541666666666666,47.65217391304348,1.782608695652174,0
20230110,0.0,3.033333333333333,54.083333333333336,0.9541666666666668,1
20230111,0.0,3.591666666666667,47.91666666666666,0.8833333333333333,0
20230112,1.2916666666666667,7.683333333333334,53.833333333333336,1.3666666666666665,0
20230113,0.1041666666666666,8.475,96.25,0.4833333333333333,1
20230114,0.1458333333333333,4.8125,84.25,1.5166666666666666,1
20230115,0.0416666666666666,-1.6291666666666669,77.91666666666667,2.308333333333333,0
20230116,0.0,-3.6,49.083333333333336,1.5416666666666667,0
20230117,0.0,-1.8041666666666665,63.333333333333336,1.1083333333333334,2
20230118,0.0,-1.2416666666666667,46.375,1.3958333333333333,1
20230119,0.0625,2.075,56.833333333333336,2.4,1
20230120,0.0,-4.816666666666666,38.04166666666666,2.0541666666666667,0
20230121,0.0,-1.5791666666666666,43.208333333333336,1.1833333333333331,0
20230122,0.0,0.5375,64.41666666666667,1.0125,0
20230123,0.0,-4.2,51.16666666666666,3.0875,1
20230124,0.0,-14.2625,41.79166666666666,2.95,0
20230125,0.0,-7.85,43.625,1.3541666666666667,0
20230126,0.0,-4.833333333333333,68.75,0.9916666666666668,1
20230127,0.0,-6.620833333333334,38.66666666666666,2.7,0
20230128,0.0,-3.9875,46.91666666666666,1.7,1
20230129,0.0,0.4833333333333332,50.458333333333336,1.8541666666666667,0
20230130,0.0,0.3958333333333333,44.875,1.5708333333333335,0
20230131,0.0,4.716666666666667,68.91666666666667,1.6541666666666666,0
20230201,0.0,0.4208333333333334,44.04166666666666,2.279166666666667,0
20230202,0.0,-0.875,38.208333333333336,1.575,0
20230203,0.0,-0.4791666666666667,36.91666666666666,1.55,0
20230204,0.0,1.2708333333333333,47.833333333333336,1.4416666666666669,0
20230205,0.0,2.5166666666666666,65.54166666666667,1.1583333333333334,1
20230206,0.0,3.8375,62.625,1.0833333333333333,0
20230207,0.0,4.216666666666667,64.70833333333333,0.8208333333333333,0
20230208,0.0,3.025,41.16666666666666,1.7541666666666669,0
20230209,0.0208333333333333,6.070833333333334,51.5,1.6041666666666667,5
20230210,0.0,3.5416666666666665,69.58333333333333,1.2208333333333334,0
20230211,0.0,3.7541666666666655,64.83333333333333,0.8250000000000001,0
20230212,0.0,6.033333333333334,58.25,1.4625,0
20230213,0.0,4.816666666666666,57.16666666666666,2.183333333333333,1
20230214,0.0,2.779166666666667,40.79166666666666,2.15,1
20230215,0.0,4.745833333333334,45.75,1.5333333333333334,0
20230216,0.0,2.0,63.54166666666666,1.6541666666666666,0
20230217,0.0,5.675,51.458333333333336,1.0458333333333334,1
20230218,0.0,6.316666666666666,52.708333333333336,1.2583333333333333,1
20230219,0.0,3.0416666666666665,39.208333333333336,2.4166666666666665,0
20230220,0.0,-0.5833333333333334,32.25,3.0708333333333333,1
20230221,0.0,0.2833333333333333,36.79166666666666,1.1208333333333331,0
20230222,0.0,2.870833333333333,48.208333333333336,1.7041666666666666,0
20230223,0.0,4.833333333333333,59.375,1.1416666666666666,1
20230224,0.0,3.35,34.75,2.25,0
20230225,0.0,2.0541666666666667,30.95833333333333,1.825,0
20230226,0.0,3.85,40.625,1.3333333333333333,0
20230227,0.0,5.454166666666667,37.41666666666666,1.2636363636363634,2
20230228,0.0,6.904166666666666,57.75,1.4708333333333334,0
20230301,0.0,4.916666666666667,31.58333333333333,3.245833333333333,1
20230302,0.0,3.0541666666666667,39.41666666666666,1.9375,1
20230303,0.0,6.6125,63.625,1.4958333333333331,0
20230304,0.0,8.0375,60.29166666666666,1.2,0
20230305,0.0,8.6,35.833333333333336,1.2291666666666667,1
20230306,0.0,10.7,36.583333333333336,1.5125,0
20230307,0.0,12.324999958333336,61.125,1.5041666666666669,0
20230308,0.1458333333333333,13.808333374999998,60.583333333333336,1.6625,0
20230309,0.0,9.404166666666669,81.04166666666667,1.525,1
20230310,0.0,15.416666708333333,47.208333333333336,1.0916666666666666,0
20230311,0.0416666666666666,15.229166708333333,46.625,2.129166666666667,0
20230312,0.1458333333333333,3.316666666666667,44.875,3.045833333333333,1
20230313,0.0,5.3125,34.083333333333336,2.075,0
20230314,0.0,10.820833333333333,44.5,1.9791666666666667,0
20230315,0.0,7.899999999999998,43.91666666666666,2.475,0
20230316,0.0,5.9,26.375,2.15,0
20230317,0.0,9.116666666666667,24.791666666666668,1.2125,0
20230318,0.0,8.745833333333334,46.41666666666666,1.9166666666666667,0
20230319,0.0,9.479166666666666,49.29166666666666,1.3916666666666666,1
20230320,0.0,11.149999875,30.25,1.2333333333333334,0
20230321,0.0,14.691666666666668,29.58333333333333,0.9666666666666668,0
20230322,0.0,19.237499916666668,39.875,1.7916666666666667,0
20230323,0.0,16.65000016666667,31.20833333333333,1.9875,1
20230324,0.0,13.6,40.208333333333336,1.6625,0
20230325,0.0,12.983333333333333,42.5,1.9833333333333327,2
20230326,0.0,8.770833333333334,22.58333333333333,2.433333333333333,0
20230327,0.0,8.479166666666666,40.75,1.6625,1
