date,value
20230101,42.541666666666664
20230102,50.958333333333336
20230103,48.458333333333336
20230104,61.416666666666664
20230105,67.25
20230106,79.29166666666667
20230107,75.66666666666667
20230108,62.375
20230109,58.95652173913044
20230110,67.95833333333333
20230111,64.29166666666667
20230112,60.708333333333336
20230113,98.0
20230114,93.79166666666667
20230115,84.83333333333333
20230116,58.583333333333336
20230117,72.20833333333333
20230118,59.958333333333336
20230119,65.41666666666667
20230120,48.25
20230121,51.791666666666664
20230122,67.95833333333333
20230123,56.666666666666664
20230124,46.791666666666664
20230125,53.083333333333336
20230126,78.83333333333333
20230127,47.333333333333336
20230128,57.75
20230129,60.416666666666664
20230130,57.75
20230131,79.16666666666667
20230201,54.833333333333336
20230202,48.416666666666664
20230203,50.666666666666664
20230204,65.04166666666667
20230205,78.16666666666667
20230206,77.91666666666667
20230207,77.66666666666667
20230208,52.208333333333336
20230209,60.458333333333336
20230210,81.375
20230211,76.70833333333333
20230212,69.45833333333333
20230213,64.58333333333333
20230214,44.916666666666664
20230215,57.458333333333336
20230216,75.0
20230217,70.33333333333333
20230218,66.04166666666667
20230219,48.166666666666664
20230220,41.583333333333336
20230221,49.958333333333336
20230222,57.791666666666664
20230223,72.83333333333333
20230224,46.333333333333336
20230225,41.791666666666664
20230226,55.708333333333336
20230227,52.833333333333336
20230228,70.79166666666667
20230301,38.958333333333336
20230302,51.875
20230303,72.875
20230304,71.625
20230305,44.166666666666664
20230306,52.791666666666664
20230307,75.79166666666667
20230308,71.45833333333333
20230309,91.66666666666667
20230310,61.083333333333336
20230311,60.416666666666664
20230312,49.708333333333336
20230313,44.333333333333336
20230314,60.875
20230315,56.416666666666664
20230316,35.75
20230317,35.958333333333336
20230318,62.5
20230319,72.70833333333333
20230320,41.5
20230321,42.625
20230322,52.541666666666664
20230323,38.916666666666664
20230324,47.708333333333336
20230325,53.166666666666664
20230326,29.166666666666668
20230327,57.166666666666664
20230328,58.5
20230329,49.666666666666664
20230330,45.5
20230331,49.833333333333336
20230401,39.708333333333336
20230402,30.25
20230403,22.625
20230404,67.16666666666667
20230405,97.79166666666667
20230406,94.0
20230407,52.541666666666664
20230408,57.625
20230409,57.75
20230410,52.416666666666664
20230411,71.41666666666667
20230412,52.75
20230413,40.91304347826087
20230414,71.0
20230415,90.5
20230416,71.95833333333333
20230417,52.583333333333336
20230418,87.45833333333333
20230419,72.75
20230420,85.66666666666667
20230421,24.416666666666668
20230422,28.875
20230423,30.833333333333332
20230424,48.125
20230425,77.79166666666667
20230426,74.66666666666667
20230427,65.20833333333333
20230428,73.75
20230429,84.75
20230430,77.70833333333333
20230501,54.541666666666664
20230502,45.166666666666664
20230503,65.58333333333333
20230504,72.125
20230505,98.0
20230506,68.0
20230507,62.833333333333336
20230508,60.166666666666664
20230509,66.0
20230510,57.916666666666664
20230511,52.708333333333336
20230512,64.08333333333333
20230513,64.20833333333333
20230514,61.083333333333336
20230515,59.041666666666664
20230516,60.375
20230517,76.70833333333333
20230518,75.125
20230519,65.95833333333333
20230520,80.25
20230521,80.04166666666667
20230522,64.16666666666667
20230523,54.5
20230524,55.0
20230525,52.416666666666664
20230526,64.33333333333333
20230527,97.75
20230528,98.0
20230529,88.58333333333333
20230530,67.125
20230531,70.58333333333333
20230601,76.08333333333333
20230602,82.79166666666667
20230603,65.70833333333333
20230604,67.875
20230605,74.33333333333333
20230606,76.0
20230607,83.75
20230608,87.125
20230609,67.20833333333333
20230610,79.45833333333333
20230611,79.54166666666667
20230612,74.45833333333333
20230613,77.5
20230614,79.5
20230615,77.54166666666667
20230616,64.66666666666667
20230617,63.0
20230618,63.083333333333336
20230619,63.291666666666664
20230620,80.91666666666667
20230621,88.66666666666667
20230622,85.83333333333333
20230623,82.69565217391305
20230624,76.54166666666667
20230625,70.33333333333333
20230626,95.79166666666667
20230627,78.5
20230628,89.83333333333333
20230629,98.0
20230630,90.875
20230701,84.41666666666667
20230702,88.29166666666667
20230703,81.70833333333333
20230704,95.66666666666667
20230705,88.45833333333333
20230706,80.20833333333333
20230707,77.33333333333333
20230708,89.41666666666667
20230709,95.79166666666667
20230710,86.58333333333333
20230711,97.91666666666667
20230712,90.33333333333333
20230713,98.0
20230714,98.0
20230715,97.5
20230716,96.0
20230717,94.16666666666667
20230718,95.41666666666667
20230719,85.29166666666667
20230720,81.66666666666667
20230721,73.125
20230722,88.95833333333333
20230723,98.0
20230724,91.625
20230725,90.625
20230726,88.54166666666667
20230727,83.95833333333333
20230728,78.54166666666667
20230729,73.66666666666667
20230730,83.75
20230731,87.5
20230801,83.375
20230802,76.625
20230803,75.75
20230804,75.20833333333333
20230805,80.70833333333333
20230806,81.125
20230807,79.58333333333333
20230808,64.04166666666667
20230809,79.91666666666667
20230810,98.0
20230811,96.66666666666667
20230812,94.91666666666667
20230813,84.125
20230814,79.875
20230815,78.25
20230816,83.125
20230817,77.5
20230818,79.70833333333333
20230819,77.625
20230820,81.29166666666667
20230821,81.54166666666667
20230822,94.0
20230823,97.70833333333333
20230824,90.125
20230825,85.91666666666667
20230826,80.41666666666667
20230827,83.95833333333333
20230828,91.33333333333333
20230829,97.54166666666667
20230830,94.70833333333333
20230831,83.41666666666667
20230901,75.83333333333333
20230902,74.375
20230903,86.04166666666667
20230904,86.29166666666667
20230905,80.16666666666667
20230906,64.375
20230907,55.041666666666664
20230908,72.125
20230909,73.83333333333333
20230910,75.70833333333333
20230911,77.375
20230912,79.08333333333333
20230913,96.04166666666667
20230914,75.41666666666667
20230915,91.95833333333333
20230916,93.83333333333333
