day,value
20230101,2.6
20230102,1.5208333333333333
20230103,1.5958333333333332
20230104,1.5041666666666667
20230105,1.0833333333333333
20230106,1.8333333333333333
20230107,1.4249999999999998
20230108,1.2958333333333334
20230109,2.0869565217391304
20230110,0.975
20230111,1.25
20230112,1.5625
20230113,0.7958333333333334
20230114,2.4166666666666665
20230115,2.4791666666666665
20230116,1.9875
20230117,1.2416666666666667
20230118,1.6583333333333332
20230119,2.841666666666667
20230120,2.5208333333333335
20230121,1.45
20230122,1.0791666666666666
20230123,3.3249999999999997
20230124,3.4416666666666664
20230125,1.8
20230126,1.8416666666666668
20230127,2.85
20230128,2.0124999999999997
20230129,2.4291666666666667
20230130,1.9166666666666667
20230131,2.6083333333333334
20230201,2.529166666666667
20230202,1.95
20230203,1.9416666666666667
20230204,1.6333333333333335
20230205,1.3708333333333333
20230206,0.9874999999999999
20230207,1.675
20230208,2.1666666666666665
20230209,1.9000000000000001
20230210,1.5999999999999999
20230211,1.2249999999999999
20230212,2.0833333333333335
20230213,2.0500000000000003
20230214,2.8041666666666667
20230215,1.875
20230216,2.0458333333333334
20230217,1.4208333333333334
20230218,1.425
20230219,2.5416666666666665
20230220,2.795833333333333
20230221,1.4208333333333334
20230222,1.825
20230223,1.9166666666666667
20230224,2.6166666666666667
20230225,1.9666666666666668
20230226,1.5916666666666668
20230227,1.6818181818181819
20230228,1.9291666666666665
20230301,3.404166666666667
20230302,2.1083333333333334
20230303,1.9416666666666667
20230304,1.366666666666667
20230305,1.1916666666666667
20230306,1.6958333333333335
20230307,1.55
20230308,2.154166666666667
20230309,1.7041666666666666
20230310,1.1916666666666667
20230311,2.5749999999999997
20230312,3.3166666666666664
20230313,2.4
20230314,2.625
20230315,2.9375
20230316,2.5875
20230317,1.5041666666666667
20230318,2.2083333333333335
20230319,2.0458333333333334
20230320,1.5416666666666667
20230321,0.9874999999999999
20230322,1.6125
20230323,2.1999999999999997
20230324,1.8583333333333334
20230325,2.245833333333333
20230326,2.8208333333333333
20230327,2.058333333333333
20230328,1.7583333333333335
20230329,1.5291666666666668
20230330,1.7625
20230331,1.6624999999999999
20230401,1.375
20230402,2.0166666666666666
20230403,2.120833333333333
20230404,2.441666666666667
20230405,2.5749999999999997
20230406,2.2333333333333334
20230407,2.8625000000000003
20230408,2.6374999999999997
20230409,2.3041666666666667
20230410,3.295833333333333
20230411,2.6125000000000003
20230412,2.5083333333333333
20230413,1.0391304347826087
20230414,1.691304347826087
20230415,2.2291666666666665
20230416,2.0708333333333333
20230417,1.9583333333333333
20230418,1.7291666666666667
20230419,2.129166666666667
20230420,2.183333333333333
20230421,2.658333333333333
20230422,1.9833333333333334
20230423,2.2041666666666666
20230424,2.0833333333333335
20230425,2.3875
20230426,2.4458333333333333
20230427,1.5125
